<<Tax Map Parcel Number>>,Tax Map 1st Num,<<Parcel Street Address1>>,<<Parcel Street Address2>>,Application Type:,Application Status,Changes to Application,<<Last Application Year>>,<<Expiration Date>>,<<Current square footage of impervious surface >>,<<Billing Units>>,Billing Rate,<<Credit Percent>>,<<Original Fee>>,<<Credit Amount>>,<<New Fee>>,Septic Connection Credit,Disconnected Downspouts,Rain Garden,Vegetated Filter Strip,Rain Barrel,Tree Cover,Conservation Landscaping,Nutrient Management Plan,<<Credit Items>>,"Roof Area
(For reporting disconnects)","Rain Barrel Area
(for reporting Rain Barrels)","Pervious Area
(For reporting NMP)"
29_G_1,29,1215 Clay St,"Harrisonburg, VA 22802",Credit Application,Approved,,2021,6/30/2026," 7,305.19 ",15,$6.00,50%, $90.00 , $45.00 , $45.00 ,,20%,,,20%,,10%,10%,* 100% Disconnected Downspouts * Rain Barrel * Conservation Landscaping * Nutrient Management Plan * ,"2,500.00","1,200.00","8,360.00"
30_B_21,30,1363 Sparrow Ct,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 11,120.18 ",22,$6.00,30%, $132.00 , $39.60 , $92.40 ,,20%,,,,,,10%,* 100% Disconnected Downspouts * Nutrient Management Plan * ,"5,905.00",,"27,027.00"
30_C_10,30,1329 Goldfinch Dr,"Harrisonburg, VA 22802",Credit Application,Approved,,2021,6/30/2026," 2,750.21 ",6,$6.00,30%, $36.00 , $10.80 , $25.20 ,,10%,,,,10%,,10%,* 50% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,,,"6,352.00"
31_G_16,31,1215 Founders Way,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 3,423.92 ",7,$6.00,30%, $42.00 , $12.60 , $29.40 ,,20%,,,,,,10%,* 100% Disconnected Downspouts * Nutrient Management Plan * ,770.00,,868.00
31_J_10,31,1320 Meadowlark Dr,"Harrisonburg, VA 22802",Credit Application,Expired,,2016,6/30/2021," 3,709.73 ",7,$6.00,0%, $42.00 , $-   , $42.00 ,,,,,,,,,* ,,,
31_P_25,31,1298 Settlers Ln,"Harrisonburg, VA 22802",Credit Application,Expired,Moved-Credit Removed,2018,6/30/2023," 2,409.85 ",5,$6.00,0%, $30.00 , $-   , $30.00 ,,20%,,,,,,10%,* 100% Disconnected Downspouts * Nutrient Management Plan * ,,,
32_G_12,32,857 Old Furnace Rd,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 3,964.75 ",8,$6.00,40%, $48.00 , $19.20 , $28.80 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"1,820.00",,"16,386.00"
32_H_19,32,834 Vine St,"Harrisonburg, VA 22802",Credit Application,Expired,Moved-Credit Removed,2015,6/30/2020," 1,030.53 ",2,$6.00,0%, $12.00 , $-   , $12.00 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,,,
32_T_6,32,661 Northfield Ct,"Harrisonburg, VA 22802",Credit Application,Expired,Moved-Credit Removed,2015,6/30/2020," 1,369.00 ",3,$6.00,0%, $18.00 , $-   , $18.00 ,,,,,,10%,,10%,* Tree Cover * Nutrient Management Plan * ,,,
32_C_2,32,850 Old Furnace Rd,"Harrisonburg, VA 22802",Credit Application,Approved,,2021,6/30/2026," 3,924.07 ",8,$6.00,20%, $48.00 , $9.60 , $38.40 ,,10%,,,,,,10%,* 50% Disconnected Downspouts * Nutrient Management Plan * ,,,"5,000.00"
32_T_8,32,665 Northfield Ct,"Harrisonburg, VA 22802",Credit Application,Approved,,2021,6/30/2026," 1,372.58 ",3,$6.00,20%, $18.00 , $3.60 , $14.40 ,,,,,,10%,,10%,* Tree Cover * Nutrient Management Plan * ,,,864.00
32_S_24,32,912 Northfield Ct,"Harrisonburg, VA 22802",Credit Application,Expired,Moved-Credit Removed,2016,6/30/2021," 1,390.99 ",3,$6.00,0%, $18.00 , $-   , $18.00 ,,,,,,,,,* ,,,
32_H_8,32,804 Vine St,"Harrisonburg, VA 22802",Credit Application,Approved,,2021,6/30/2026," 1,904.10 ",4,$6.00,30%, $24.00 , $7.20 , $16.80 ,,20%,,,,,,10%,* 100% Disconnected Downspouts * Nutrient Management Plan * ,600.00,,"2,664.00"
32_J_42,32,826 Meadowlark Dr,"Harrisonburg, VA 22802",Credit Application,Expired,,2016,6/30/2021," 1,073.92 ",2,$6.00,0%, $12.00 , $-   , $12.00 ,,,,,,,,,* ,,,
32_M_25,32,566 Vine St,"Harrisonburg, VA 22802",Credit Application,Approved,,2023,6/30/2028," 2,023.03 ",4,$6.00,40%, $24.00 , $9.60 , $14.40 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,,,"8,712.00"
32_R_1,32,472 E Washington St,"Harrisonburg, VA 22802",Credit Application,Approved,,2018,6/30/2023," 1,166.68 ",2,$6.00,40%, $12.00 , $4.80 , $7.20 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,765.90,,DNR
32_Q_1,32,501 Kelley St,"Harrisonburg, VA 22802",Credit Application,Approved,,2018,6/30/2023," 2,917.22 ",6,$6.00,40%, $36.00 , $14.40 , $21.60 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"1,220.00",,DNR
33_Q_15,33,548 E Wolfe St,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 4,510.58 ",9,$6.00,40%, $54.00 , $21.60 , $32.40 ,,20%,,,,,10%,10%,* 100% Disconnected Downspouts * Conservation Landscaping * Nutrient Management Plan * ,"2,229.00",,"7,422.00"
33_R_5,33,639 E Rock St,"Harrisonburg, VA 22802",Credit Application,Approved,,2021,6/30/2026," 1,450.23 ",3,$6.00,30%, $18.00 , $5.40 , $12.60 ,,,,,20%,,10%,,* Rain Barrel * Conservation Landscaping * ,,185.00,
33_V_6,33,640 E Market St,"Harrisonburg, VA 22801",Credit Application,Approved,,2021,6/30/2026," 2,282.74 ",5,$6.00,20%, $30.00 , $6.00 , $24.00 ,,,,,,10%,,10%,* Tree Cover * Nutrient Management Plan * ,,,"1,957.00"
33_V_7,33,640 E Market St,"Harrisonburg, VA 22801",Credit Application,Approved,,2021,6/30/2026," 1,563.73 ",3,$6.00,40%, $18.00 , $7.20 , $10.80 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"1,092.00",,"1,803.00"
33_L_4,33,409 Summit St,"Harrisonburg, VA 22802",Credit Application,Expired,,2016,6/30/2021," 3,300.78 ",7,$6.00,0%, $42.00 , $-   , $42.00 ,,,,,,,,,* ,,,
33_B_20,33,244 E Johnson St,"Harrisonburg, VA 22802",Credit Application,Expired,Moved-Credit Removed,2018,6/30/2023," 1,990.03 ",4,$6.00,0%, $24.00 , $-   , $24.00 ,,20%,,,20%,,,10%,* 100% Disconnected Downspouts * Rain Barrel * Nutrient Management Plan * ,,,
33_I_1,33,406 Broad St,"Harrisonburg, VA 22802",Credit Application,Approved,,2018,6/30/2023," 2,836.17 ",6,$6.00,50%, $36.00 , $18.00 , $18.00 ,,20%,,,20%,,,10%,* 100% Disconnected Downspouts * Rain Barrel * Nutrient Management Plan * ,"1,570.00",200.00,"1,060.00"
33_Q_12,33,524 E Wolfe St,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 1,871.21 ",4,$6.00,40%, $24.00 , $9.60 , $14.40 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"1,155.00",,"1,660.00"
33_X_3,33,410 Summit St,"Harrisonburg, VA 22802",Credit Application,Approved,,2018,6/30/2023," 2,741.78 ",5,$6.00,50%, $30.00 , $15.00 , $15.00 ,,20%,,,20%,,,10%,* 100% Disconnected Downspouts * Rain Barrel * Nutrient Management Plan * ,"2,300.00",250.00,"3,642.00"
34_C_12,34,482 Collicello St,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 1,847.24 ",4,$6.00,40%, $24.00 , $9.60 , $14.40 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"1,247.00",,"4,000.00"
34_V_19,34,70 Broad St,"Harrisonburg, VA 22802",Credit Application,Approved,,2021,6/30/2026," 2,542.28 ",5,$6.00,10%, $30.00 , $3.00 , $27.00 ,,,,,,,,10%,* Nutrient Management Plan * ,,,"1,527.00"
34_V_3,34,340 E Market St,"Harrisonburg, VA 22801",Credit Application,Approved,,2021,6/30/2026," 7,369.33 ",15,$6.00,20%, $90.00 , $18.00 , $72.00 ,,10%,,,,,,10%,* 50% Disconnected Downspouts * Nutrient Management Plan * ,,,"1,761.00"
34_V_4,34,352 E Market St,"Harrisonburg, VA 22801",Credit Application,Approved,,2021,6/30/2026," 7,065.19 ",14,$6.00,20%, $84.00 , $16.80 , $67.20 ,,10%,,,,,,10%,* 50% Disconnected Downspouts * Nutrient Management Plan * ,,,"1,760.00"
34_A_3,34,512 Collicello St,"Harrisonburg, VA 22802",Credit Application,Expired,,2016,6/30/2021," 3,316.52 ",7,$6.00,0%, $42.00 , $-   , $42.00 ,,,,,,,,,* ,,,
34_C_9,34,438 Collicello St,"Harrisonburg, VA 22802",Credit Application,Approved,,2018,6/30/2023," 2,427.30 ",5,$6.00,30%, $30.00 , $9.00 , $21.00 ,,20%,,,,,,10%,* 100% Disconnected Downspouts * Nutrient Management Plan * ,"1,632.00",,"3,218.00"
34_V_18,34,90 Broad St,"Harrisonburg, VA 22802",Credit Application,Approved,,2018,6/30/2023," 2,362.96 ",5,$6.00,30%, $30.00 , $9.00 , $21.00 ,,20%,,,,,,10%,* 100% Disconnected Downspouts * Nutrient Management Plan * ,"1,600.00",,"1,220.00"
35_C_10,35,516 Lee Ave,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 2,001.21 ",4,$6.00,40%, $24.00 , $9.60 , $14.40 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"1,500.00",,"2,900.00"
35_C_16,35,556 Lee Ave,"Harrisonburg, VA 22802",Credit Application,Expired,Moved-Credit Removed,2015,6/30/2020," 1,709.44 ",3,$6.00,0%, $18.00 , $-   , $18.00 ,,20%,,,20%,,,10%,* 100% Disconnected Downspouts * Rain Barrel * Nutrient Management Plan * ,,,
35_C_16,35,556 Lee Ave,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 1,709.44 ",3,$6.00,50%, $18.00 , $9.00 , $9.00 ,,20%,,,20%,,,10%,* 100% Disconnected Downspouts * Rain Barrel * Nutrient Management Plan * ,"1,250.00",,"3,974.00"
35_D_11,35,518 Virginia Ave,"Harrisonburg, VA 22802",Credit Application,Approved,,2023,6/30/2028," 2,646.60 ",5,$6.00,50%, $30.00 , $15.00 , $15.00 ,,20%,,,20%,,10%,10%,* 100% Disconnected Downspouts * Rain Barrel * Conservation Landscaping * Nutrient Management Plan * ,"2,453.90",224.50,"2,617.50"
35_F_8,35,493 Virginia Ave,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 3,024.37 ",6,$6.00,50%, $36.00 , $18.00 , $18.00 ,,20%,,,20%,,,10%,* 100% Disconnected Downspouts * Rain Barrel * Nutrient Management Plan * ,"1,730.00",432.50,"7,667.50"
35_I_2,35,317 Park Ave,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 6,613.96 ",13,$6.00,40%, $78.00 , $31.20 , $46.80 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"2,851.50",,"10,502.00"
35_K_9,35,344 N High St,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 3,400.05 ",7,$6.00,40%, $42.00 , $16.80 , $25.20 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"1,271.00",,"2,400.00"
35_P_11,35,77 Shenandoah Ave,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 1,959.89 ",4,$6.00,20%, $24.00 , $4.80 , $19.20 ,,20%,,,,,,,* 100% Disconnected Downspouts * ,"1,100.00",,
35_P_6,35,29 Shenandoah Ave,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 1,911.50 ",4,$6.00,50%, $24.00 , $12.00 , $12.00 ,,20%,,,20%,10%,,,* 100% Disconnected Downspouts * Rain Barrel * Tree Cover * ,"1,200.00",700.00,
35_R_10A,35,260 W Elizabeth St,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 1,623.37 ",3,$6.00,40%, $18.00 , $7.20 , $10.80 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,946.00,,"2,200.00"
35_V_8,35,394 W Water St,"Harrisonburg, VA 22801",Credit Application,Approved,,2020,6/30/2025," 2,626.48 ",5,$6.00,40%, $30.00 , $12.00 , $18.00 ,,,,,20%,10%,,10%,* Rain Barrel * Tree Cover * Nutrient Management Plan * ,,200.00,"3,500.00"
35_N_8,35,290 W Wolfe St,"Harrisonburg, VA 22802",Credit Application,Approved,,2021,6/30/2026," 4,243.04 ",8,$6.00,40%, $48.00 , $19.20 , $28.80 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"1,975.00",,"3,131.00"
35_H_12,35,444 Green St,"Harrisonburg, VA 22802",Credit Application,Expired,,2016,6/30/2021," 2,497.79 ",5,$6.00,0%, $30.00 , $-   , $30.00 ,,,,,,,,,* ,,,
35_O_9,35,270 N High St,"Harrisonburg, VA 22802",Credit Application,Approved,,2021,6/30/2026," 2,244.57 ",4,$6.00,20%, $24.00 , $4.80 , $19.20 ,,10%,,,,,,10%,* 50% Disconnected Downspouts * Nutrient Management Plan * ,,,"1,841.00"
35_J_9,35,221 W Gay St,"Harrisonburg, VA 22802",Credit Application,Approved,,2021,6/30/2026," 2,112.64 ",4,$6.00,50%, $24.00 , $12.00 , $12.00 ,,20%,,,20%,,,10%,* 100% Disconnected Downspouts * Rain Barrel * Nutrient Management Plan * ,"1,031.00",250.00,900.00
35_X_11,35,157 W Market St,"Harrisonburg, VA 22801",Credit Application,Approved,,2018,6/30/2023," 8,934.00 ",18,$6.00,30%, $108.00 , $32.40 , $75.60 ,,10%,,,,10%,,10%,* 50% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,,,"3,650.00"
35_X_12,35,167 W Market St,"Harrisonburg, VA 22801",Credit Application,Approved,,2018,6/30/2023," 5,842.07 ",12,$6.00,30%, $72.00 , $21.60 , $50.40 ,,10%,,,,10%,,10%,* 50% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,,,"1,468.00"
35_S_8,35,153 W Wolfe St,"Harrisonburg, VA 22802",Credit Application,Approved,,2018,6/30/2023," 1,913.50 ",4,$6.00,10%, $24.00 , $2.40 , $21.60 ,,,,,,,,10%,* Nutrient Management Plan * ,,,738.00
35_S_16,35,116 N High St,"Harrisonburg, VA 22802",Credit Application,Approved,,2018,6/30/2023," 2,738.83 ",5,$6.00,20%, $30.00 , $6.00 , $24.00 ,,10%,,,,,,10%,* 50% Disconnected Downspouts * Nutrient Management Plan * ,,,184.00
35_S_12,35,154 N High St,"Harrisonburg, VA 22802",Credit Application,Approved,,2018,6/30/2023," 6,973.72 ",14,$6.00,30%, $84.00 , $25.20 , $58.80 ,,10%,,,,10%,,10%,* 50% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,,,"1,265.00"
35_W_8,35,281 W Market St,"Harrisonburg, VA 22801",Credit Application,Approved,,2018,6/30/2023," 6,342.91 ",13,$6.00,10%, $78.00 , $7.80 , $70.20 ,,,,,,,,10%,* Nutrient Management Plan * ,,,775.00
35_W_9,35,40 Academy St,"Harrisonburg, VA 22801",Credit Application,Approved,,2018,6/30/2023," 4,395.32 ",9,$6.00,20%, $54.00 , $10.80 , $43.20 ,,10%,,,,,,10%,* 50% Disconnected Downspouts * Nutrient Management Plan * ,,,"2,900.00"
35_W_7,35,265 W Market St,"Harrisonburg, VA 22801",Credit Application,Approved,,2018,6/30/2023," 4,137.34 ",8,$6.00,20%, $48.00 , $9.60 , $38.40 ,,10%,,,,,,10%,* 50% Disconnected Downspouts * Nutrient Management Plan * ,,,"3,717.00"
35_S_11,35,162 N High St,"Harrisonburg, VA 22802",Credit Application,Approved,,2018,6/30/2023," 6,642.99 ",13,$6.00,30%, $78.00 , $23.40 , $54.60 ,,10%,,,,10%,,10%,* 50% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,,,DNR
35_S_14,35,134 N High St,"Harrisonburg, VA 22802",Credit Application,Approved,,2018,6/30/2023," 2,347.37 ",5,$6.00,30%, $30.00 , $9.00 , $21.00 ,,10%,,,,10%,,10%,* 50% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,,,"1,805.00"
35_S_15,35,126 N High St,"Harrisonburg, VA 22802",Credit Application,Approved,,2018,6/30/2023," 1,994.00 ",4,$6.00,10%, $24.00 , $2.40 , $21.60 ,,,,,,,,10%,* Nutrient Management Plan * ,,,540.00
35_S_13,35,144 N High St,"Harrisonburg, VA 22802",Credit Application,Approved,,2018,6/30/2023," 5,141.26 ",10,$6.00,10%, $60.00 , $6.00 , $54.00 ,,,,,,,,10%,* Nutrient Management Plan * ,,,"1,570.00"
35_R_35,35,254 W Market St,"Harrisonburg, VA 22801",Credit Application,Approved,,2018,6/30/2023," 3,764.14 ",8,$6.00,30%, $48.00 , $14.40 , $33.60 ,,10%,,,,10%,,10%,* 50% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,,,"7,760.00"
35_W_5,35,237 W Market St,"Harrisonburg, VA 22801",Credit Application,Approved,,2018,6/30/2023," 4,954.34 ",10,$6.00,20%, $60.00 , $12.00 , $48.00 ,,10%,,,,,,10%,* 50% Disconnected Downspouts * Nutrient Management Plan * ,,,"3,100.00"
35_W_6,35,253 W Market St,"Harrisonburg, VA 22801",Credit Application,Approved,,2018,6/30/2023," 4,148.70 ",8,$6.00,30%, $48.00 , $14.40 , $33.60 ,,10%,,,,10%,,10%,* 50% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,,,"4,141.00"
35_R_36,35,238 W Market St,"Harrisonburg, VA 22801",Credit Application,Approved,,2019,6/30/2024," 1,985.34 ",4,$6.00,30%, $24.00 , $7.20 , $16.80 ,,10%,,,,10%,,10%,* 50% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,,,"4,108.00"
36_K_2,36,260 Hartman Dr,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 2,945.10 ",6,$6.00,50%, $36.00 , $18.00 , $18.00 ,,20%,,,20%,10%,,,* 100% Disconnected Downspouts * Rain Barrel * Tree Cover * ,"1,918.00",950.00,
36_B_5,36,525 N Willow St,"Harrisonburg, VA 22802",Credit Application,Approved,,2022,6/30/2027," 3,303.23 ",7,$6.00,20%, $42.00 , $8.40 , $33.60 ,,,,,20%,,,,* Rain Barrel * ,,300.00,
36_L_10,36,525 Green St,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 1,160.16 ",2,$6.00,50%, $12.00 , $6.00 , $6.00 ,,20%,,,20%,,,10%,* 100% Disconnected Downspouts * Rain Barrel * Nutrient Management Plan * ,910.00,254.50,"5,050.00"
36_Q_3,36,513 W Market St,"Harrisonburg, VA 22801",Credit Application,Approved,,2021,6/30/2026," 4,335.81 ",9,$6.00,20%, $54.00 , $10.80 , $43.20 ,,10%,,,,,,10%,* 50% Disconnected Downspouts * Nutrient Management Plan * ,,,"4,465.00"
36_F_10-10A,36,270 Rockingham Dr,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 2,312.27 ",5,$6.00,50%, $30.00 , $15.00 , $15.00 ,,20%,,,20%,10%,,10%,* 100% Disconnected Downspouts * Rain Barrel * Tree Cover * Nutrient Management Plan * ,"1,519.80",315.88,"2,000.00"
36_J_1-2-1A,36,275 Hartman Dr,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 4,347.36 ",9,$6.00,50%, $54.00 , $27.00 , $27.00 ,,20%,,,20%,10%,,10%,* 100% Disconnected Downspouts * Rain Barrel * Tree Cover * Nutrient Management Plan * ,"2,033.00","1,000.00","5,480.00"
36_O_10,36,77 N Willow St,"Harrisonburg, VA 22802",Credit Application,Approved,,2021,6/30/2026," 2,084.50 ",4,$6.00,50%, $24.00 , $12.00 , $12.00 ,,20%,,,20%,10%,,10%,* 100% Disconnected Downspouts * Rain Barrel * Tree Cover * Nutrient Management Plan * ,"1,300.00",600.00,"3,000.00"
36_R_11,36,511 W Water St,"Harrisonburg, VA 22801",Credit Application,Approved,,2021,6/30/2026," 2,919.11 ",6,$6.00,30%, $36.00 , $10.80 , $25.20 ,,20%,,,,,,10%,* 100% Disconnected Downspouts * Nutrient Management Plan * ,850.00,,"2,000.00"
36_AA_8,36,501 Hartman Dr,"Harrisonburg, VA 22802",Credit Application,Approved,,2021,6/30/2026," 3,753.65 ",8,$6.00,50%, $48.00 , $24.00 , $24.00 ,,20%,,,20%,,,10%,* 100% Disconnected Downspouts * Rain Barrel * Nutrient Management Plan * ,"2,300.00",400.00,"8,000.00"
36_O_7,36,53 N Willow St,"Harrisonburg, VA 22802",Credit Application,Approved,,2021,6/30/2026," 3,260.96 ",7,$6.00,30%, $42.00 , $12.60 , $29.40 ,,20%,,,,,,10%,* 100% Disconnected Downspouts * Nutrient Management Plan * ,100.00,,"1,000.00"
36_C_3-3A,36,455 Hartman Dr,"Harrisonburg, VA 22802",Credit Application,Approved,,2019,6/30/2024," 2,616.28 ",5,$6.00,50%, $30.00 , $15.00 , $15.00 ,,20%,,,20%,,,10%,* 100% Disconnected Downspouts * Rain Barrel * Nutrient Management Plan * ,"1,210.00",908.50,"2,560.00"
38_E_1A,38,1293 Greystone St,"Harrisonburg, VA 22802",Credit Application,Approved,,2021,6/30/2026," 2,596.58 ",5,$6.00,50%, $30.00 , $15.00 , $15.00 ,,20%,,,20%,10%,,,* 100% Disconnected Downspouts * Rain Barrel * Tree Cover * ,"1,397.00",700.00,
39_M_43,39,834 Stuart St,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 2,421.08 ",5,$6.00,30%, $30.00 , $9.00 , $21.00 ,,20%,,,,,,10%,* 100% Disconnected Downspouts * Nutrient Management Plan * ,"1,854.00",,"5,457.00"
39_K_13,39,950 Lee Ave,"Harrisonburg, VA 22802",Credit Application,Approved,,2021,6/30/2026," 6,903.41 ",14,$6.00,50%, $84.00 , $42.00 , $42.00 ,,20%,,,20%,,,10%,* 100% Disconnected Downspouts * Rain Barrel * Nutrient Management Plan * ,"2,401.00",730.00,"2,301.00"
39_K_14,39,958 Lee Ave,"Harrisonburg, VA 22802",Credit Application,Approved,,2021,6/30/2026," 5,156.79 ",10,$6.00,30%, $60.00 , $18.00 , $42.00 ,,20%,,,,,,10%,* 100% Disconnected Downspouts * Nutrient Management Plan * ,"2,802.00",,250.00
39_I_40,39,322 6th St,"Harrisonburg, VA 22802",Credit Application,Approved,,2021,6/30/2026," 3,905.91 ",8,$6.00,40%, $48.00 , $19.20 , $28.80 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"1,800.00",,"3,500.00"
39_G_44-47,39,1004 Rockingham Dr,"Harrisonburg, VA 22802",Credit Application,Approved,,2021,6/30/2026," 4,075.59 ",8,$6.00,40%, $48.00 , $19.20 , $28.80 ,,10%,,,20%,,10%,,* 50% Disconnected Downspouts * Rain Barrel * Conservation Landscaping * ,,"1,300.00",
"39_U_5,6",39,635 Hartman Dr,"Harrisonburg, VA 22802",Credit Application,Approved,,2021,6/30/2026," 3,264.68 ",7,$6.00,50%, $42.00 , $21.00 , $21.00 ,,20%,,,20%,10%,,,* 100% Disconnected Downspouts * Rain Barrel * Tree Cover * ,"1,800.00",900.00,
39_M_45,39,826 Stuart St,"Harrisonburg, VA 22802",Credit Application,Expired,,2016,6/30/2021," 2,545.27 ",5,$6.00,0%, $30.00 , $-   , $30.00 ,,,,,,,,,* ,,,
39_BB_2,39,320 7th St,"Harrisonburg, VA 22802",Credit Application,Approved,,2021,6/30/2026," 3,045.71 ",6,$6.00,50%, $36.00 , $18.00 , $18.00 ,,20%,,,20%,10%,,10%,* 100% Disconnected Downspouts * Rain Barrel * Tree Cover * Nutrient Management Plan * ,"2,000.00",420.00,"3,000.00"
39_T_7,39,771 Virginia Ave,"Harrisonburg, VA 22802",Credit Application,Expired,,2016,6/30/2021," 2,078.89 ",4,$6.00,0%, $24.00 , $-   , $24.00 ,,,,,,,,,* ,,,
39_XX_9,39,665 Lee Ave,"Harrisonburg, VA 22802",Credit Application,Expired,Moved-Credit Removed,2016,6/30/2021," 3,099.84 ",6,$6.00,0%, $36.00 , $-   , $36.00 ,,,,,,,,,* ,,,
39_C_101,39,1019 Rockingham Dr,"Harrisonburg, VA 22802",Credit Application,Approved,,2021,6/30/2026," 2,597.90 ",5,$6.00,30%, $30.00 , $9.00 , $21.00 ,,20%,,,,,,10%,* 100% Disconnected Downspouts * Nutrient Management Plan * ,"1,750.00",,"7,985.00"
39_A_139,39,1031 Stuart St,"Harrisonburg, VA 22802",Credit Application,Approved,,2023,6/30/2028," 4,375.13 ",9,$6.00,50%, $54.00 , $27.00 , $27.00 ,,20%,,,20%,,,10%,* 100% Disconnected Downspouts * Rain Barrel * Nutrient Management Plan * ,"2,500.00",150.00,"7,000.00"
40_A_19,40,1021 Jefferson St,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 1,100.00 ",2,$6.00,10%, $12.00 , $1.20 , $10.80 ,,,,,,,,10%,* Nutrient Management Plan * ,,,"3,350.00"
40_A_20,40,1021 Jefferson St,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 5,150.00 ",10,$6.00,40%, $60.00 , $24.00 , $36.00 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"1,380.00",,"5,277.00"
40_A_20A,40,1021 Jefferson St,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 7,150.00 ",14,$6.00,30%, $84.00 , $25.20 , $58.80 ,,20%,,,,,,10%,* 100% Disconnected Downspouts * Nutrient Management Plan * ,"2,160.00",,"13,000.00"
40_A_21,40,1021 Jefferson St,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 1,081.21 ",2,$6.00,20%, $12.00 , $2.40 , $9.60 ,,,,,,10%,,10%,* Tree Cover * Nutrient Management Plan * ,,,"5,230.00"
40_A_27,40,244 Sutter St,"Harrisonburg, VA 22802",Credit Application,Expired,No Re-App- Expired,2015,6/30/2020," 2,947.10 ",6,$6.00,0%, $36.00 , $-   , $36.00 ,,20%,,,20%,,,10%,* 100% Disconnected Downspouts * Rain Barrel * Nutrient Management Plan * ,,,
40_N_3,40,722 N Liberty St,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 2,254.01 ",5,$6.00,40%, $30.00 , $12.00 , $18.00 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"1,147.00",,"4,312.00"
40_V_2,40,597 N Liberty St,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025," 1,696.23 ",3,$6.00,30%, $18.00 , $5.40 , $12.60 ,,20%,,,,,,10%,* 100% Disconnected Downspouts * Nutrient Management Plan * ,"1,110.00",,"4,768.00"
